Label,PartNumber,Description
2230 Terminal Board,02230-3000-0001,"KIT, WIRE CONNECTIONS, TERMINAL BOARD INCL O-RING"
2410 TRL2 Card,02410-3000-0001,"PRIM./SEC. FIELD BUS, TRL/2 MODBUS"
2410 AO I/P NON IS,02410-3000-0003,"PRIM./SEC. FIELD BUS, ANALOG OUTPUT/INPUT 4-20 MA/HART, PA (NON IS)"
2410 AI/OP Non IS,02410-3000-0004,"SEC. FIELD BUS, ANALOG OUTPUT/INPUT 4-20 MA/HART, ACTIVE (NON IS)"
2410 AI/OA Non IS,02410-3000-0005,"SEC. FIELD BUS, ANALOG OUTPUT/INPUT 4-20 MA/HART, PASSIVE"
2410 WLS HRT (IS),02410-3000-0007,"SEC. FIELD BUS, WIRELESS HART (IEC 62591) CONNECTIVITY (IS)"
2410 Display,02410-3000-0015,"INTEGRAL DISPLAY, LCD UNIT"
2410 Pwr Sply,02410-3000-0016,"POWER SUPPLY, EXTENDED INPUT RANGE: 48-240 VAC AT 50/60 H"
2460 Pwr Module,02460-3000-0001,"POWER, POWER UNIT MODULE"
2460 RS232/RS485/WHESSOE Card,02460-3000-0005,"FIELD/HOST COMMUNICATION, RS232/RS485/WHESSOE/MODBUS"
5900 1in1 Term Blck,05900-3001-0001,"TERMINAL BLOCK, 1IN1"
5900 2in1 Term Blck,05900-3001-0002,"TERMINAL BLOCK, 2IN1"
5900s 2in1 Electronics,5909SP02FZZ02ZZZZZZZZZZZ,5900S ELECTRONICS 2 -1
5900s 1in1 Electronics,5909SP01FZZ02ZZZZZZZZZZZ,5900S ELECTRONICS 1 -1
5900c Electronics,5909C201FZZ02ZZZZZZZZZZZ,5900C ELECTRONICS 1-1
2410 Electronics,2419SFR0000PSZZ0ZZZ,"2410 ELECTRONICS, STD"
2240 Electronics,2249SP164AFZZ0ZZZ,SPARE BOARD INCL O-RING
2230 Display,2239EZZZZZZZZ-CB,"DISPLAY BOARD, INCL O-RING"
FF Terminator,05900-1000-0002,"TANKBUS, FF-TERMINATION"
